x;y;CONVG2
491138;3125813;63,49610138
491168;3125813;43,75170135
491198;3125813;31,75189972
491228;3125813;37,10020065
491258;3125813;51,84669876
491288;3125813;53,16999817
491318;3125813;39,13949966
491348;3125813;26,58230019
491378;3125813;34,58069992
491408;3125813;48,94850159
491438;3125813;62,88290024
491468;3125813;77,97070313
491498;3125813;99,98079681
491528;3125813;117,4113007
491558;3125813;126,8942032
491588;3125813;128,7599945
491618;3125813;126,4164963
491648;3125813;128,2277069
491678;3125813;135,009201
491708;3125813;141,6815948
491738;3125813;138,1878052
491768;3125813;130,4176025
491798;3125813;126,2494965
491828;3125813;130,3034973
491858;3125813;127,5544968
491888;3125813;114,476799
491918;3125813;92,38819885
491948;3125813;67,45120239
491978;3125813;56,40129852
492008;3125813;55,64699936
492038;3125813;60,78530121
492068;3125813;68,51439667
492098;3125813;74,70570374
492128;3125813;82,26889801
492158;3125813;94,85849762
492188;3125813;114,2959976
492218;3125813;124,5130997
492248;3125813;123,2423019
492278;3125813;116,4420013
492308;3125813;117,4974976
492338;3125813;123,780899
492368;3125813;123,0615997
492398;3125813;121,9654999
492428;3125813;131,6403961
492458;3125813;156,4909973
492488;3125813;173,7026062
492518;3125813;167,6739044
492548;3125813;151,5885925
492578;3125813;132,0807037
492608;3125813;113,6051025
492638;3125813;96,10649872
492668;3125813;87,90029907
492698;3125813;105,441803
492728;3125813;136,2247009
492758;3125813;145,2071991
492788;3125813;133,626297
492818;3125813;108,8555984
492848;3125813;87,20680237
492878;3125813;70,07540131
492908;3125813;62,76729965
492938;3125813;59,43130112
492968;3125813;64,66880035
492998;3125813;78,24520111
493028;3125813;86,42420197
493058;3125813;85,97779846
493088;3125813;81,32749939
493118;3125813;76,1312027
493148;3125813;71,37519836
493178;3125813;68,1434021
493208;3125813;62,03580093
493238;3125813;53,57789993
493268;3125813;44,5318985
493298;3125813;46,95629883
493328;3125813;66,27729797
493358;3125813;87,52899933
493388;3125813;102,5307999
493418;3125813;113,2844009
493448;3125813;111,5679016
493478;3125813;92,26660156
493508;3125813;65,07939911
493538;3125813;57,71749878
493568;3125813;75,25409698
493598;3125813;106,3287964
493628;3125813;123,9725037
493658;3125813;114,9927979
493688;3125813;94,55570221
493718;3125813;79,31510162
493748;3125813;75,39920044
493778;3125813;79,30639648
493808;3125813;84,77189636
493838;3125813;94,94950104
493868;3125813;114,5861969
493898;3125813;127,8869019
493928;3125813;125,4645996
493958;3125813;107,1595993
490058;3125783;62,87659836
490088;3125783;99,0515976
490118;3125783;122,9110031
490148;3125783;133,7801056
490178;3125783;137,7144012
490208;3125783;136,2398987
490238;3125783;117,3227005
490268;3125783;83,75309753
490298;3125783;60,9878006
490328;3125783;68,31580353
490358;3125783;97,41000366
490388;3125783;129,1114044
490418;3125783;154,1472015
490448;3125783;171,6278076
490478;3125783;167,3462067
490508;3125783;147,8166962
490538;3125783;119,4235001
490568;3125783;96,73010254
490598;3125783;94,61569977
490628;3125783;99,00170135
490658;3125783;95,53849792
490688;3125783;86,4197998
490718;3125783;77,68609619
490748;3125783;72,64360046
490778;3125783;77,96099854
490808;3125783;91,4292984
490838;3125783;102,9975967
490868;3125783;98,23120117
490898;3125783;84,36450195
490928;3125783;71,97779846
490958;3125783;77,23619843
490988;3125783;89,97180176
491018;3125783;95,52539825
491048;3125783;91,07550049
491078;3125783;86,56950378
491108;3125783;74,60320282
491138;3125783;56,25550079
491168;3125783;36,69599915
491198;3125783;26,9321003
491228;3125783;37,99710083
491258;3125783;50,62540054
491288;3125783;50,05789948
491318;3125783;34,9715004
491348;3125783;19,50729942
491378;3125783;25,14240074
491408;3125783;39,62379837
491438;3125783;57,43050003
491468;3125783;77,61009979
491498;3125783;99,99569702
491528;3125783;117,6511993
491558;3125783;118,6166992
491588;3125783;105,6302032
491618;3125783;95,20950317
491648;3125783;98,91829681
491678;3125783;111,0903015
491708;3125783;119,6781006
491738;3125783;119,3559036
491768;3125783;112,5378036
491798;3125783;107,2153015
491828;3125783;110,0441971
491858;3125783;107,418602
491888;3125783;98,28919983
491918;3125783;79,72219849
491948;3125783;56,29539871
491978;3125783;40,3465004
492008;3125783;36,45429993
492038;3125783;41,74769974
492068;3125783;51,64550018
492098;3125783;59,20240021
492128;3125783;64,28279877
492158;3125783;74,76380157
492188;3125783;89,31819916
492218;3125783;92,76300049
492248;3125783;95,87419891
492278;3125783;98,09629822
492308;3125783;106,4373016
492338;3125783;125,8345032
492368;3125783;128,210907
492398;3125783;117,9399033
492428;3125783;123,7633972
492458;3125783;140,1477966
492488;3125783;153,2536926
492518;3125783;149,9871063
492548;3125783;135,3303986
492578;3125783;115,7316971
492608;3125783;98,53959656
492638;3125783;89,46330261
492668;3125783;95,92500305
492698;3125783;126,2194977
492728;3125783;156,4407959
492758;3125783;159,2910004
492788;3125783;134,9031067
492818;3125783;97,07530212
492848;3125783;65,46690369
492878;3125783;50,67250061
492908;3125783;43,30070114
492938;3125783;41,59889984
492968;3125783;51,75
492998;3125783;76,59470367
493028;3125783;93,39309692
493058;3125783;91,54139709
493088;3125783;82,86920166
493118;3125783;76,06900024
493148;3125783;68,16100311
493178;3125783;58,61320114
493208;3125783;48,6855011
493238;3125783;39,21239853
493268;3125783;33,00799942
493298;3125783;49,6617012
493328;3125783;85,41100311
493358;3125783;118,1936035
493388;3125783;131,4024963
493418;3125783;130,6179962
493448;3125783;127,5529022
493478;3125783;105,1112976
493508;3125783;73,27850342
493538;3125783;60,85169983
493568;3125783;74,48889923
493598;3125783;105,4669037
493628;3125783;125,9232025
493658;3125783;110,1119003
493688;3125783;81,93009949
493718;3125783;54,80670166
493748;3125783;46,4034996
493778;3125783;50,11800003
493808;3125783;57,46760178
493838;3125783;75,02619934
493868;3125783;100,3346024
493898;3125783;118,3416977
493928;3125783;120,0967026
493958;3125783;101,853302
490058;3125753;76,58940125
490088;3125753;108,235199
490118;3125753;123,1472015
490148;3125753;122,0274963
490178;3125753;112,4317017
490208;3125753;101,1639023
490238;3125753;93,1292038
490268;3125753;80,12020111
490298;3125753;72,60440063
490328;3125753;83,60040283
490358;3125753;106,8628998
490388;3125753;129,8572998
490418;3125753;150,9920959
490448;3125753;163,6614075
490478;3125753;158,730896
490508;3125753;139,3618927
490538;3125753;112,4068985
490568;3125753;94,93190002
490598;3125753;98,76609802
490628;3125753;107,8877029
490658;3125753;106,914299
490688;3125753;93,44599915
490718;3125753;76,88050079
490748;3125753;68,14679718
490778;3125753;70,01979828
490808;3125753;82,01950073
490838;3125753;89,90930176
490868;3125753;79,79290009
490898;3125753;63,45140076
490928;3125753;57,3594017
490958;3125753;71,99829865
490988;3125753;89,66439819
491018;3125753;92,65730286
491048;3125753;89,43869781
491078;3125753;87,38310242
491108;3125753;81,44509888
491138;3125753;67,93309784
491168;3125753;49,37360001
491198;3125753;47,23709869
491228;3125753;61,1012001
491258;3125753;73,19200134
491288;3125753;70,19879913
491318;3125753;55,00429916
491348;3125753;41,22470093
491378;3125753;42,01240158
491408;3125753;47,24369812
491438;3125753;59,69800186
491468;3125753;75,75930023
491498;3125753;99,7634964
491528;3125753;113,344902
491558;3125753;105,0406036
491588;3125753;81,52410126
491618;3125753;67,02760315
491648;3125753;80,57150269
491678;3125753;103,3423996
491708;3125753;116,4413986
491738;3125753;115,885498
491768;3125753;98,68190002
491798;3125753;84,03320313
491828;3125753;87,37310028
491858;3125753;94,17230225
491888;3125753;94,29329681
491918;3125753;77,84159851
491948;3125753;48,7818985
491978;3125753;25,59210014
492008;3125753;17,30360031
492038;3125753;24,0781002
492068;3125753;38,73089981
492098;3125753;53,74150085
492128;3125753;65,05069733
492158;3125753;78,20809937
492188;3125753;93,80439758
492218;3125753;99,082901
492248;3125753;96,97720337
492278;3125753;91,50759888
492308;3125753;95,48950195
492338;3125753;106,7771988
492368;3125753;109,0345001
492398;3125753;101,763298
492428;3125753;102,1136017
492458;3125753;114,3501968
492488;3125753;123,1104965
492518;3125753;124,2563019
492548;3125753;113,9916992
492578;3125753;99,73000336
492608;3125753;89,15219879
492638;3125753;87,21160126
492668;3125753;100,2172012
492698;3125753;132,3488007
492728;3125753;159,3917999
492758;3125753;156,7745972
492788;3125753;128,263504
492818;3125753;84,75659943
492848;3125753;56,85430145
492878;3125753;42,65499878
492908;3125753;33,02199936
492938;3125753;34,13100052
492968;3125753;55,49269867
492998;3125753;91,19450378
493028;3125753;109,1070023
493058;3125753;104,1931
493088;3125753;90,69819641
493118;3125753;79,14040375
493148;3125753;67,06800079
493178;3125753;53,58879852
493208;3125753;42,45140076
493238;3125753;36,74449921
493268;3125753;49,61930084
493298;3125753;79,1608963
493328;3125753;114,1219025
493358;3125753;133,8108063
493388;3125753;129,4577026
493418;3125753;114,5639038
493448;3125753;102,0412979
493478;3125753;85,92449951
493508;3125753;59,27310181
493538;3125753;43,80699921
493568;3125753;59,97290039
493598;3125753;95,72380066
493628;3125753;115,5136032
493658;3125753;108,4945984
493688;3125753;75,64369965
493718;3125753;44,72219849
493748;3125753;34,06219864
493778;3125753;36,75889969
493808;3125753;44,68610001
493838;3125753;62,42710114
493868;3125753;84,54380035
493898;3125753;96,22750092
493928;3125753;97,91100311
493958;3125753;85,59349823
490058;3125723;91,82720184
490088;3125723;117,8358002
490118;3125723;125,7796021
490148;3125723;106,3181
490178;3125723;81,32219696
490208;3125723;65,95529938
490238;3125723;66,52929688
490268;3125723;71,41190338
490298;3125723;85,63580322
490328;3125723;102,5445023
490358;3125723;117,1827011
490388;3125723;127,3473969
490418;3125723;138,2203064
490448;3125723;145,2888947
490478;3125723;139,2422943
490508;3125723;119,8296967
490538;3125723;96,22589874
490568;3125723;84,98220062
490598;3125723;93,97519684
