x;y;SAGAWI
491198;3125843;15,01000023
491228;3125843;15,11999989
491258;3125843;15,15999985
491288;3125843;15,18999958
491318;3125843;15,06000042
491348;3125843;14,89999962
491378;3125843;14,81000042
491408;3125843;14,72999954
491438;3125843;14,47000027
491468;3125843;14,14000034
491498;3125843;13,82999992
491528;3125843;13,5
491558;3125843;13,27000046
491588;3125843;13,31000042
491618;3125843;13,11999989
491648;3125843;12,97999954
491678;3125843;13
491708;3125843;13,18000031
491738;3125843;13,11999989
491768;3125843;13,52999973
491798;3125843;13,88000011
491828;3125843;13,78999996
491858;3125843;13,73999977
491888;3125843;13,60000038
491918;3125843;13,56999969
491948;3125843;13,93999958
491978;3125843;14,26000023
492008;3125843;13,98999977
492038;3125843;13,84000015
492068;3125843;13,52000046
492098;3125843;13,30000019
492128;3125843;13,17000008
492158;3125843;13,07999992
492188;3125843;13,02999973
492218;3125843;13,11999989
492248;3125843;12,97000027
492278;3125843;13,19999981
492308;3125843;13,81000042
492338;3125843;13,94999981
492368;3125843;13,93999958
492398;3125843;14,27000046
492428;3125843;14,02000046
492458;3125843;13,90999985
492488;3125843;14,07999992
492518;3125843;14,39000034
492548;3125843;13,90999985
492578;3125843;13,52000046
492608;3125843;13,55000019
492638;3125843;13,77999973
492668;3125843;14,06999969
492698;3125843;14,10000038
492728;3125843;14,39000034
492758;3125843;13,88000011
492788;3125843;13,86999989
492818;3125843;13,30000019
492848;3125843;12,72999954
492878;3125843;12,80000019
492908;3125843;12,93999958
492938;3125843;13,13000011
492968;3125843;13,30000019
492998;3125843;13,67000008
493028;3125843;13,86999989
493058;3125843;13,84000015
493088;3125843;14,02000046
493118;3125843;14,19999981
493148;3125843;14,25
493178;3125843;14,18000031
493208;3125843;14,22999954
493238;3125843;14,31000042
493268;3125843;14,35999966
493298;3125843;14,43000031
493328;3125843;14,69999981
493358;3125843;15,15999985
493388;3125843;15,14000034
493418;3125843;15,07999992
493448;3125843;15,13000011
493478;3125843;15,21000004
493508;3125843;15,10000038
493538;3125843;15,22999954
493568;3125843;14,56999969
493598;3125843;14,43999958
493628;3125843;14,52000046
493658;3125843;14,52000046
493688;3125843;14,21000004
493718;3125843;14,02000046
493748;3125843;14,05000019
493778;3125843;14,06000042
493808;3125843;14,09000015
493838;3125843;14,11999989
493868;3125843;14,31999969
493898;3125843;14,47000027
493928;3125843;14,32999992
493958;3125843;14,27999973
490058;3125813;13,56000042
490088;3125813;13,65999985
490118;3125813;13,90999985
490148;3125813;14,21000004
490178;3125813;14,32999992
490208;3125813;14,47999954
490238;3125813;14,22999954
490268;3125813;14,18999958
490298;3125813;14,60999966
490328;3125813;14,06999969
490358;3125813;13,81000042
490388;3125813;14,10999966
490418;3125813;14,64999962
490448;3125813;14,23999977
490478;3125813;14,02999973
490508;3125813;13,35000038
490538;3125813;13,18000031
490568;3125813;13,68999958
490598;3125813;13,97999954
490628;3125813;13,60999966
490658;3125813;13,63000011
490688;3125813;13,72000027
490718;3125813;13,81999969
490748;3125813;13,93999958
490778;3125813;14,43000031
490808;3125813;14,93000031
490838;3125813;14,56000042
490868;3125813;14,26000023
490898;3125813;13,88000011
490928;3125813;13,93000031
490958;3125813;14,03999996
490988;3125813;14,13000011
491018;3125813;14,10000038
491048;3125813;13,94999981
491078;3125813;13,82999992
491108;3125813;13,89000034
491138;3125813;14,22999954
491168;3125813;14,72999954
491198;3125813;15,06999969
491228;3125813;15,15999985
491258;3125813;15,19999981
491288;3125813;15,10999966
491318;3125813;14,93999958
491348;3125813;14,92000008
491378;3125813;14,88000011
491408;3125813;14,72000027
491438;3125813;14,43000031
491468;3125813;14,03999996
491498;3125813;13,71000004
491528;3125813;13,46000004
491558;3125813;13,48999977
491588;3125813;13,34000015
491618;3125813;13,14000034
491648;3125813;13
491678;3125813;13,02000046
491708;3125813;13,18000031
491738;3125813;13,44999981
491768;3125813;13,89000034
491798;3125813;13,86999989
491828;3125813;13,81000042
491858;3125813;13,77999973
491888;3125813;13,71000004
491918;3125813;13,81999969
491948;3125813;14,15999985
491978;3125813;14,34000015
492008;3125813;14,07999992
492038;3125813;13,86999989
492068;3125813;13,59000015
492098;3125813;13,39000034
492128;3125813;13,26000023
492158;3125813;13,14000034
492188;3125813;13,06999969
492218;3125813;13,09000015
492248;3125813;13,23999977
492278;3125813;13,81999969
492308;3125813;14,18000031
492338;3125813;14
492368;3125813;13,98999977
