OBJECTID;SAMPLING;EAST;NORTH;C;Ca_exch;Mg_exch;K_exch;Na_exch
272;catQ;492794,441;3121890,501;1,580;14,531;3,998;0,844;0,757
273;catQ;492782,206;3121908,959;1,263;12,026;3,806;1,540;0,879
274;catQ;492714,538;3121884,980;0,802;8,733;2,594;1,136;0,687
275;catQ;492865,934;3121554,839;1,844;26,397;5,044;3,141;1,174
276;catQ;492917,113;3121568,081;1,961;33,683;6,609;2,731;1,244
277;catQ;492703,923;3121894,670;0,588;12,575;4,041;1,417;0,731
278;catQ;492860,042;3121567,786;1,959;32,934;7,041;1,790;1,270
279;catQ;492917,295;3121581,980;1,615;25,250;6,153;3,090;0,966
280;catQ;492867,237;3121580,552;2,021;29,641;6,507;1,596;1,244
281;catQ;492916,751;3121591,539;1,602;25,499;4,796;1,499;1,035
282;catQ;492856,716;3121592,629;2,255;28,044;4,196;1,427;1,114
283;catQ;492914,742;3121605,046;1,932;26,148;4,470;2,046;1,148
284;catQ;492904,661;3121741,561;1,219;13,413;3,507;0,691;0,618
285;catQ;492843,380;3121729,638;1,705;12,495;3,416;1,217;0,539
286;catQ;492841,210;3121741,154;1,701;13,054;2,860;1,376;0,679
287;catA;492298,400;3123170,300;0,987;17,605;6,043;4,384;0,600
288;catA;492279,000;3123187,800;1,417;33,483;5,230;1,197;0,809
289;catA;492274,100;3123201,500;1,412;34,780;4,844;0,783;0,670
290;catA;492272,300;3123210,000;1,326;34,281;4,737;0,900;0,609
291;catA;492257,900;3123240,000;1,430;34,581;4,985;0,905;0,644
292;catA;492201,900;3123456,400;1,374;36,926;5,342;1,417;0,696
293;catA;492308,900;3122926,600;0,630;27,096;7,470;3,304;0,644
294;catA;492169,800;3123488,800;1,702;35,878;5,668;0,936;0,853
295;catA;492171,100;3123519,000;1,258;24,850;3,306;0,737;0,418
296;catA;492166,400;3123546,600;1,254;28,293;4,028;0,706;0,522
297;catA;492146,300;3123635,100;1,247;27,445;4,196;1,668;0,435
298;catA;492277,500;3123041,200;0,721;17,325;3,692;1,872;0,426
299;catA;492272,900;3123016,000;0,991;19,491;3,725;1,422;0,592
300;catA;492278,100;3123054,800;0,776;13,134;2,928;3,074;0,426
301;catA;492275,600;3123067,300;1,079;13,194;2,913;1,606;0,609
302;catA;492268,900;3123087,300;1,101;20,519;3,183;1,161;0,574
303;catA;492262,200;3123105,900;0,999;20,798;3,771;1,483;0,539
304;catA;492083,100;3123730,600;0,686;15,469;4,768;1,427;0,400
305;catA;492104,100;3123778,000;0,352;9,381;3,551;1,192;0,409
306;catA;492259,900;3123122,200;1,193;20,689;3,635;1,586;0,618
307;catA;492257,100;3123142,100;1,222;24,052;3,967;1,647;0,635
308;catA;492374,400;3122848,100;0,950;48,603;7,243;1,652;0,635
309;catA;492361,600;3123006,800;1,056;33,184;5,201;1,084;0,548
310;catA;492342,800;3123035,100;0,813;21,357;4,155;2,481;0,409
311;catA;492310,400;3123029,900;0,898;16,747;4,092;1,161;0,374
312;catA;492342,000;3123089,700;1,200;26,946;4,520;1,627;0,670
313;catA;492338,400;3123145,300;1,145;25,050;3,781;1,499;0,609
314;catA;492335,400;3123193,400;1,509;38,872;5,207;0,977;0,696
315;catA;492307,400;3123208,300;1,312;32,285;5,408;0,532;0,583
316;catA;492307,600;3123234,500;1,388;33,034;4,495;0,818;0,618
317;catA;492266,200;3123292,100;1,605;26,198;4,734;1,299;0,696
318;catA;492317,900;3123311,700;1,450;38,124;5,574;1,197;0,826
319;catA;492290,400;3123392,500;1,059;19,910;4,273;2,107;0,496
320;catA;492280,300;3123496,400;1,800;38,872;6,410;1,340;0,766
321;catA;492267,300;3123544,500;1,573;34,830;5,344;1,350;0,757
322;catA;492257,300;3123608,000;1,120;23,553;3,783;0,425;0,487
323;catA;492202,300;3123638,400;1,817;36,427;5,961;1,228;0,574
324;catA;492210,700;3123671,600;1,312;27,345;4,660;1,187;0,539
325;catA;492272,200;3123718,200;1,132;24,102;4,189;1,575;0,487
326;catA;492331,900;3122924,900;0,984;18,683;4,053;2,348;0,435
327;catA;492319,400;3122941,400;1,046;18,962;4,002;1,754;0,565
328;catA;492314,100;3122956,000;0,934;20,289;4,161;1,877;0,496
329;catA;492134,500;3123773,100;0,393;10,050;4,373;1,928;0,270
330;catA;492122,900;3123781,900;0,330;12,784;5,411;2,619;0,357
331;catA;492336,500;3122967,100;0,969;29,960;4,771;2,522;0,435
332;profile1;492851,000;3124171,000;1,554;19,411;9,663;0,895;0,322
333;profile2;493281,000;3123548,000;0,338;5,778;1,246;0,455;0,217
334;profile3;490871,000;3123048,000;1,596;12,725;3,590;0,795;1,018
335;profile4;491019,000;3123587,000;0,572;11,577;5,150;2,985;0,174
